scorer,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon,DavidPagnon
individuals,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0,person0
angs,Time,Right ankle,Left ankle,Right knee,Left knee,Right hip,Left hip,Right shoulder,Left shoulder,Right elbow,Left elbow,Right foot,Left foot,Right shank,Left shank,Right thigh,Left thigh,Trunk,Right arm,Left arm,Right forearm,Left forearm
coords,seconds,dorsiflexion,dorsiflexion,flexion,flexion,flexion,flexion,flexion,flexion,flexion,flexion,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal,horizontal
9,0.2994444477923439,28.11011559153394,10.14526071676788,36.1654132722731,79.20598572618889,11.889332715944136,75.10479700508519,44.65174278450538,-36.75026779269797,12.490948645870617,49.93589390773718,-39.81912144027937,-16.540802999338474,-157.92923703181333,-116.68606371610636,-121.76382375954023,-37.48007798991749,123.11901573524352,-89.00141369097899,-149.33514278770062,-76.51046504510838,-99.39924887996342
10,0.3327160457301022,42.035477981735546,9.533413703839372,43.7761279838561,70.34939691707302,15.068881699119544,73.41164747238818,39.893903773121004,-31.412651507845965,9.167691294366534,53.39271826708993,-29.58231994610108,-11.835161151769848,-161.61779792783665,-111.36857485560922,-117.84166994398055,-41.01917793853619,123.67068852701223,-93.01664786997908,-145.84347691877034,-83.84895657561252,-92.4507586516804
11,0.3659876523043755,55.02589910857834,8.363385347836285,51.41602598917632,62.067324578611874,19.319474755641522,71.09196710845798,34.632496178177654,-23.702422256547266,9.581308441129636,50.690686715990154,-19.27737886176352,-8.455937754106653,-164.30327797034187,-106.81932310194296,-112.8872519811656,-44.751998523331075,124.02534618429812,-97.5742305586295,-139.54638788833634,-87.99292211749984,-88.85570117234617
12,0.399259259225074,51.55572400283764,8.281880334071616,59.46647205481804,54.64842681428394,23.103872885042136,66.28010123235082,29.96142555155368,-11.671864472319044,9.789266583636845,40.203937534963075,-25.8330488020129,-6.456450091178801,-167.38877280485056,-104.73833042525044,-107.92230075003252,-50.08990361096651,123.698089239196,-101.06474808352098,-128.04186931563643,-91.27548149988412,-87.83793178067336
13,0.4325308645804244,23.685045327912036,10.781402651122804,68.4253088158838,46.64126931344174,25.973779177276327,57.674853614282824,26.016287669442548,2.078411777035967,10.012969616266531,27.6043538740187,-58.100775403382194,-4.679282323054713,-171.78582073129425,-105.46068497417751,-103.36051191541043,-58.819415660735764,122.91428018385268,-103.3180034232442,-114.4158574979827,-93.30503380697765,-86.81150362396397
14,0.4658024692850551,-8.882538911528528,14.180833982756937,77.35926343924717,37.66298602875156,28.999980362002077,47.26615005711702,21.234837179155956,12.516323597267785,12.747192521044866,22.438632233457838,-94.79721526169668,-3.2413586370446543,-175.91467635016815,-107.4221926198016,-98.555412910921,-69.75920659105006,122.29037496054508,-106.32055609376711,-104.50903305089929,-93.57336357272223,-82.07040081744145
15,0.4990740740545225,-22.367521942383362,16.07617931831888,85.42247323779816,30.080411691848212,32.99321659309973,39.13662456262469,13.921063199635585,19.77937974204025,18.915679645104802,29.191678002111303,-110.85893176049383,-3.2140130330089076,-178.49140981811047,-109.29019235132779,-93.0689365803123,-79.20978065947963,122.20427919775821,-112.14108997377646,-98.5670254800641,-93.22541032867164,-69.37534747795281
16,0.5323456789757863,-25.452568966653658,17.84973368476315,92.36310823396576,27.17722152369663,38.08586928712694,35.490982983902285,5.660550837570492,26.296368595364697,25.526994299251896,43.170723637262455,-114.77189467677583,-3.945614672432856,-179.31932571012214,-111.79534835719602,-86.9562174761564,-84.61812683349936,122.5755982903425,-119.38153592571285,-93.81274122203695,-93.85454162646093,-50.64201758477449
17,0.5656172839408423,-23.477135905036405,21.575780419235684,98.3996708392516,29.078449234985726,44.087805057528556,35.21254262073907,1.480626458040373,31.02695857380678,25.879888508525653,56.22046475918803,-112.29224607584659,-3.884549159869817,-178.8151101708102,-115.46032957910549,-80.41543933155857,-86.38188034411976,123.04883367697299,-123.02261793104677,-90.56746439105206,-97.1427294225211,-34.346999631863994
18,0.598888888892422,-17.370910607007986,27.132934160373736,103.55765821968714,31.219678549371338,50.56747101140226,34.84815404546845,3.344253500140156,32.74486934330952,13.671268413487724,67.97287189099585,-104.60314429057009,-1.757982174938629,-177.2322336835621,-118.89091633531235,-73.67457546387496,-87.67123778594102,123.38071915334334,-120.89779297513705,-89.77452248809999,-107.22652456164934,-21.80165059710411
19,0.6321604938303935,-8.08464575241392,33.11749116864154,107.66238734671396,30.226637012167032,57.3924981192648,32.11488926083342,7.994090937472361,34.755328375692784,-11.7603427800139,77.96371150439897,-92.39179741165718,1.6800563437908222,-174.30715165924326,-121.43743482485074,-66.6447643125293,-91.21079781268372,123.68147475265563,-116.04317149432174,-88.57035869782442,-127.80351427433561,-10.606647193425426
20,0.6654320987659427,1.2040448783526472,36.52133370287475,110.69344507784473,27.31185745240498,64.70775079566116,28.09448372220791,10.90325259057826,41.23937477582774,-30.29183995632377,82.47782388759904,-78.47689637297015,2.800277212530158,-169.6809412513228,-123.72105649034458,-58.98749617347803,-96.4091990379396,124.09946486464335,-112.79199437856094,-83.26430798431977,-143.08383433488473,-0.7864840967207075
21,0.6987037037032596,7.567622054445479,34.56000351796342,112.53418987913852,24.54160211172632,71.95938942176569,24.53217573358475,9.949423954298767,51.32464019965005,-25.375311898396546,81.84345565069853,-65.98837401080986,-1.4743022759709465,-163.55599606525533,-126.03430579393438,-51.02180618611686,-101.49270368220807,124.5030375118377,-113.03177165358377,-74.70023921614279,-138.40708355198035,7.1432164345557485
22,0.7319753086417099,10.787012919366418,28.02496202813159,112.38481913676515,22.32431649273593,78.02810453996625,21.632325732236183,5.583617682058156,60.74150399677865,-8.72791213846287,79.34609978736486,-55.473206157509324,-10.21242599689662,-156.26021907687573,-128.2373880250282,-43.87539994011057,-105.91307153229226,124.72445087230267,-116.31988679801867,-66.8038932677498,-125.04779893648153,12.542206519615075
23,0.7652469135802348,12.197140654745581,23.66638468585414,109.62882663015364,21.34474141360056,82.44782189653334,19.0118162095049,-0.7396528803915077,67.70747842443984,5.117933035461476,75.11178697924274,-45.83326752282832,-17.426392078072716,-148.03040817757392,-131.09277676392688,-38.401581547420335,-109.7480353503263,124.80462750189247,-121.58905632434518,-61.052373135391406,-116.47112328888369,14.059413843851319
24,0.7985185185185655,13.392361139460206,23.165285464876632,104.99364779304841,22.640478576434987,85.52280776072922,16.6860642870366,-7.287818976698322,73.10468701388601,14.519172769611231,67.82685395211021,-36.29412600304652,-22.302664967964713,-139.68648714250673,-135.46795043284135,-34.6928393494583,-112.82747185640635,124.86459162681524,-127.50346608688585,-56.40884912955693,-112.98429331727463,11.418004822553293
